Time Stamp,RT Prices,DA Prices,Load Realized,Load Forecast,Capacity,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,Load-Capacity Ratio,HDD,CDD,Price Error,Load Error
2021-09-02 11:00:00,58.25583333333333,53.65,2446.8037916666667,2873.0,2460.0,16.0475,89.0,0.0,26.576681,335.1707,1.1678861788617887,2.252499389648438,0.0,4.81583333333333,-564.1962083333333
2021-09-02 12:00:00,36.52333333333333,53.44,2530.1604416666664,3011.0,2472.5,16.9975,84.0,0.0,22.065973,331.76263,1.2177957532861476,1.302500534057618,0.0,-18.706666666666663,-618.8395583333336
2021-09-02 13:00:00,43.76857142857143,55.23,2642.4848500000003,3149.0,2905.0,17.2475,80.0,0.0,23.263912,338.19852,1.0839931153184166,1.052500534057618,0.0,-12.581428571428575,-659.5151499999997
2021-09-02 14:00:00,59.90416666666667,56.35,2745.263666666667,3302.0,2490.0,18.9975,76.0,0.0,24.26998,327.72437,1.3261044176706827,0.0,0.6974994659423821,2.044166666666669,-633.7363333333328
2021-09-02 15:00:00,112.71249999999999,57.86,2891.984525,3379.0,2490.0,20.1975,70.0,0.0,22.768396,325.30478,1.3570281124497992,0.0,1.8975002288818352,47.87249999999999,-550.0154750000002
2021-09-02 16:00:00,143.83333333333334,64.84,3036.9757083333334,3442.0,2490.0,21.6475,65.0,0.0,19.914215,319.39877,1.3823293172690763,0.0,3.3474990844726555,72.78333333333335,-430.0242916666666
2021-09-02 17:00:00,101.53500000000001,71.05,3111.7069749999996,3467.0,2490.0,22.5975,56.0,0.0,22.91026,315.0001,1.3923694779116467,0.0,4.297499847412109,42.00500000000001,-259.2930250000004
2021-09-02 18:00:00,88.38916666666667,59.53,3063.5934500000003,3371.0,2490.0,22.7475,45.0,0.0,25.20257,315.57864,1.3538152610441767,0.0,4.447499465942382,31.389166666666668,-167.4065499999997
2021-09-02 19:00:00,49.32416666666666,57.0,2957.1876916666665,3231.0,2490.0,22.8475,44.0,0.0,19.107151,317.29062,1.297590361445783,0.0,4.547499847412109,-6.045833333333334,-138.81230833333348
2021-09-02 20:00:00,87.59833333333334,55.37,2877.2690916666666,3096.0,2490.0,22.7475,42.0,0.0,17.974781,302.7352,1.2433734939759036,0.0,4.447499465942382,33.21833333333334,2.2690916666665544
